,material,perm,a,b,c,d,e,x,b (tesla)
0,MPP,14,0.03918489543506965,0.01823968754739873,0.0004910637344319278,0.13312093764632904,0.0004501846799363706,1.938303857711461,0.13092234487549378
1,MPP,26,0.053395004192252675,0.011437649406649578,0.0005418533537932071,0.087721004013053,0.000499954613369863,1.6994333688932892,0.24352243269587676
2,MPP,60,0.039329623397622276,0.013713205938106226,0.0005726588938366093,0.051004167460847495,0.0005215523966223739,1.5279618667882748,0.4780929729927665
3,MPP,125,0.034232813363092814,0.020920243786981638,0.0005476530592557757,0.03371311758635065,0.0004940843407115991,1.3639081727037885,out of range
4,MPP,147,0.028877480341436623,0.02651069809226379,0.0005290020806416063,0.03461618084924414,0.0005025109750241121,1.3959703187771482,out of range
5,MPP,160,0.028425250060599132,0.02737717095798331,0.0005121361875960682,0.03242607063902496,0.0005051509317050016,1.365436407078595,out of range
6,MPP,173,0.029333612094529393,0.02706745555331619,0.0004916536604831106,0.02795063195594855,0.0005130496434906757,1.3254708160252788,out of range
7,MPP,200,0.02257041732351965,0.03251994506093948,0.0005097459239677409,0.031702216074285715,0.0005225197845899872,1.31619957143185,out of range
8,MPP,300,0.002880414603879558,0.05179485780556941,0.000578743961071683,0.0490437053997615,0.0005099905153062458,1.253737835405425,out of range
9,MPP,550,0.0016808233236749299,0.07554886850582411,1.1179954191695715e-10,0.09742773971793424,0.0017540160891647285,1.1000195261317312,out of range
10,High Flux,14,0.03981059270387617,0.02173827109977261,0.00047445434236578977,0.1733217826849217,0.0003406692233498862,1.7494535083245022,0.1295626309139413
11,High Flux,26,0.0396868106117711,0.019635887818832604,0.0005930809498258961,0.11627803939468595,0.00040251549609307216,1.8279215827694026,0.24463224802218878
12,High Flux,40,0.03900012642518547,0.017169916365179925,0.000652744188606466,0.0859480383475838,0.0004670510052280706,1.725127884889391,0.3735814067335373
13,High Flux,60,0.03828127954549973,0.017997328622547493,0.0007012166506159248,0.07063312254976463,0.00045017670748097826,1.6303084011488178,0.5409766119521081
14,High Flux,125,0.03790126033445324,0.02125769808227642,0.0007080144747292693,0.041385119534877494,0.0004222822298357541,1.4327407901419182,0.9519350515182629
15,High Flux,147,0.03497977426728199,0.02403807051610436,0.0006777451107928166,0.03915412293756742,0.00043733003747863184,1.365781001716131,0.9637279630431119
16,High Flux,160,0.03412694393558911,0.024488652847903348,0.0006798466878415659,0.03698657295004973,0.0004410638605908479,1.3264317894960782,out of range
18,High Flux Special,60,0.09216102150750748,0.019782033510262496,0.0008633941410668075,0.0762184928737951,0.0006309015008164186,1.7991617221838028,0.5272952424500054
19,High Flux Special,125,0.04714697338366535,0.01830800033033587,0.0012346539750411906,0.06364407768445313,0.0007842905264208318,1.34777094495852,0.8876578011966908
20,Edge,26,0.042470613310884066,0.02153328920766063,0.0006191861364921978,0.11572052273462574,0.0004154450492402336,1.9509843329286856,0.24627812257657147
21,Edge,60,0.04753418932944099,0.013524844417800441,0.0007586151911637284,0.0725122457449719,0.00043677635122200097,1.5377897645789615,0.5668595354286026
22,Kool Mµ Hƒ,26,0.05240570043135704,0.015343544747228524,0.0005563925177616187,0.09842535879720553,0.00046346432479242453,1.769510282565959,0.2428640015067926
23,Kool Mµ Hƒ,60,0.03620760151622369,0.016742330155320794,0.0005950191321540896,0.05717999244071135,0.0005133956938305463,1.5988334978357182,0.48052463116477784
24,Kool Mµ,14,0.03917837662282823,0.018562950417526175,0.00048116535036301825,0.1390210858736856,0.00044783502025996596,1.875438648940138,0.12986257196733578
25,Kool Mµ,26,0.03763072056105733,0.017115440392765063,0.0005154713655882447,0.09189837535618099,0.0004908779316789998,1.811869924748269,0.23155662821639914
26,Kool Mµ,40,0.03789356180164318,0.016324560227176373,0.000535452507260878,0.07365430395243622,0.0005110268189661446,1.6651657724103655,0.32507787213860784
27,Kool Mµ,60,0.03600889393232483,0.017213111194094268,0.0005400680440085913,0.0562410520371988,0.0005156422740265098,1.5769776707572842,0.44123540398307776
28,Kool Mµ,75,0.03110601852363653,0.022858459844162893,0.0005342528817328342,0.05568182422790565,0.0004981844408626577,1.614230862915112,0.5004308779713965
29,Kool Mµ,90,0.029645278336541896,0.025384540362516236,0.000514175859947138,0.053051236208114756,0.0004867135856173576,1.5782963687745584,0.542556169095613
30,Kool Mµ,125,0.027299125424041903,0.02946063293432332,0.0005038440246010773,0.05273592331122216,0.00046386774689317873,1.4707909110105195,out of range
31,XFlux,19,0.03986308523788414,0.02163878863829703,0.0005310843590683814,0.15040887274616843,0.0003343701439615766,1.7830175709657636,0.17504576009695055
32,XFlux,26,0.04042248005580406,0.02041996305448961,0.0005961950910981495,0.11636387583094591,0.00039336936818099336,1.8719993418568326,0.244978597967351
33,XFlux,40,0.051193865411788865,0.016023444993605918,0.0006639636080529171,0.09033791993951892,0.00044051542989429816,1.678656454858673,0.3756044742142811
34,XFlux,60,0.03879940665401098,0.016480058455710895,0.0006982019722908446,0.06610622547646589,0.00047047918335963357,1.6227724973222166,0.5423477942883085
35,XFlux,75,0.0414245340226438,0.014141920901550586,0.0007118947034521233,0.05583583604743808,0.00046484636067884946,1.460697299288455,0.6490024278870842
36,XFlux,90,0.036211771758990645,0.019867301384581617,0.0006674890730993594,0.04920611310614035,0.0004656886559363166,1.542445252631023,0.715137344940026
37,XFlux,125,0.03813993620142141,0.017287642009696173,0.0006277414053287878,0.03363147181013216,0.00046494977894339897,1.306712400026515,0.8404206967561548
38,75-Series,26,0.019346930086928525,0.01820599684282311,0.00040735600670612453,0.09161989746031991,0.00029517437046180033,1.748493146338261,0.23673762674944987
39,75-Series,40,0.036273248903558486,0.02148408734834161,0.0006971800552315205,0.10289963701426555,0.0005175292917080479,1.7184132380942143,0.34888071468936155
40,75-Series,60,0.06047308776575586,0.02081066719459002,0.0008582474670677414,0.08427234310920224,0.0006352207851822478,1.6863608710277707,0.5010259214084152
41,Kool Mµ MAX,14,0.03944962240980071,0.019217520190688158,0.00048816017603633076,0.14301591897494007,0.0004216743512552508,1.8951601923448618,0.13012760519702918
42,Kool Mµ MAX,19,0.039151690989919295,0.018660928532737996,0.0005237055332028435,0.12254902154116082,0.0004367820800600265,1.8586690529727314,0.1772903450093219
43,Kool Mµ MAX,26,0.06404660540696244,0.015722671234822773,0.0005541044403571343,0.0968468299454296,0.0004568172893756079,1.8129893869729738,0.24264277486647162
44,Kool Mµ MAX,40,0.03810094192739368,0.01719913725480375,0.0005982179306012233,0.08224797381715543,0.00048520927127237973,1.6835295282272702,0.34995461987362414
45,Kool Mµ MAX,60,0.035888902828607246,0.018617801892599806,0.000620094718614215,0.06341128180522528,0.0004897045435360029,1.6298586706784275,0.4914771309680002
46,"Kool Mµ 
E-core, U-core, Block",14,0.052164383809906546,0.015071499705265431,0.00043230442838915005,0.10355172899590638,0.0005174451589117588,1.95150471367823,0.12695553377493732
47,"Kool Mµ 
E-core, U-core, Block",26,0.027100899074641506,0.009151158326286173,0.0004035765941346118,0.07636467080142902,0.00039859503783833654,1.5153792894977383,0.2335105453435386
48,"Kool Mµ 
E-core, U-core, Block",40,0.049896760583184395,0.015374069837285795,0.000579248140532803,0.07262906906489489,0.000554184421843326,1.6888426963000145,0.3338802804057348
49,"Kool Mµ 
E-core, U-core, Block",60,0.042859201851125815,0.017870753733562898,0.0006044330325236047,0.06335013579156343,0.0005528535565697002,1.5862325330187232,0.44384202351716073
50,"Kool Mµ 
E-core, U-core, Block",90,0.03156914912973587,0.02185837767824823,0.0006059174456210997,0.05719503763905758,0.0005696110395550395,1.4763738336125987,0.5349486823622001
51,"XFlux E-core, U-core, Block",26,0.11263143023295125,0.021609594873487882,0.00047594711522512285,0.08359221473729318,0.00035822380868131686,2.223575136228604,0.24445361613946737
52,"XFlux E-core, U-core, Block",40,0.13180179060189579,0.026067027670404634,0.0007203435081014874,0.08601172302430841,0.0005547039411893552,2.245034956075546,0.37042922177602094
53,"XFlux E-core, U-core, Block",60,0.09020907321851239,0.010982868230330331,5.520403622355793e-05,0.010943849272413245,3.780807287458009e-05,1.6419225962840864,0.5377827515417862
54,High Flux EQ & LP,26,0.20128535887463042,0.05553558387077288,0.0009456631860051886,0.1484941151526704,0.000738901499515481,3.2067218228353527,0.2432155746065428
55,High Flux EQ & LP,40,0.06923311516958011,0.017111825094115685,0.0007255884642924636,0.0987321391434701,0.0004585364211700605,1.7219965932454355,0.3773381961443911
56,High Flux EQ & LP,60,0.04712185187376411,0.017151514139679625,0.0007430276318681554,0.07137822137092462,0.0004823861643084839,1.6307247055990945,0.5470351993362196
57,Kool Mµ EQ & LP,26,0.04488140095362318,0.01746563046978932,0.0005105764623561922,0.09446553637022352,0.0004341968438182317,1.8218490273290784,0.23757385311063559
58,Kool Mµ EQ & LP,40,0.04830928758604167,0.016365765715647553,0.0005832019193624816,0.07751080943590768,0.0005059198327550524,1.6918801982718834,0.3427604793149525
59,Kool Mµ EQ & LP,60,0.042859201851125815,0.017870753733562898,0.0006044330325236047,0.06335013579156343,0.0005528535565697002,1.5862325330187232,0.44384202351716073
60,XFlux EQ & LP,26,0.05322576122569954,0.016755245880530414,0.0005698780548800188,0.13306018276131007,0.00028692801737120966,1.6429688087998477,0.23878807294936452
61,XFlux EQ & LP,40,0.18698533486512336,0.04023258355436701,0.0009117397351707686,0.11249957022709851,0.0006536884459778143,2.6850161887447777,0.3776727826501685
62,XFlux EQ & LP,60,0.05234435247956428,0.0153270518002736,0.0007303744736344102,0.07100338899300526,0.000445173283471872,1.5829058705492893,0.5540130331706286
